doi,title,author,publisher,created,has_replication
http://dx.doi.org/10.3982/ecta15213,['Optimal Transport Networks in Spatial Equilibrium'],"[{'given': 'Pablo D.', 'family': 'Fajgelbaum', 'sequence': 'first', 'affiliation': [{'name': 'UCLA'}, {'name': 'NBER'}]}, {'given': 'Edouard', 'family': 'Schaal', 'sequence': 'additional', 'affiliation': [{'name': 'CREI, Universitat Pompeu Fabra'}, {'name': 'Barcelona GSE'}, {'name': 'CEPR'}]}]",The Econometric Society,"{'date-parts': [[2020, 7, 21]], 'date-time': '2020-07-21T12:43:25Z', 'timestamp': 1595335405000}",True
http://dx.doi.org/10.3982/ecta16481,['Selection Without Exclusion'],"[{'given': 'Bo E.', 'family': 'Honoré', 'sequence': 'first', 'affiliation': [{'name': 'Department of Economics, Princeton University'}]}, {'given': 'Luojia', 'family': 'Hu', 'sequence': 'additional', 'affiliation': [{'name': 'Economic Research Department, Federal Reserve Bank of Chicago'}]}]",The Econometric Society,"{'date-parts': [[2020, 5, 7]], 'date-time': '2020-05-07T11:57:12Z', 'timestamp': 1588852632000}",True
http://dx.doi.org/10.3982/ecta14806,['Take the Short Route: Equilibrium Default and Debt Maturity'],"[{'given': 'Mark', 'family': 'Aguiar', 'sequence': 'first', 'affiliation': [{'name': 'Department of Economics, Princeton University'}]}, {'given': 'Manuel', 'family': 'Amador', 'sequence': 'additional', 'affiliation': [{'name': 'Research Department, Federal Reserve Bank of Minneapolis'}, {'name': 'Department of Economics, University of Minnesota'}]}, {'given': 'Hugo', 'family': 'Hopenhayn', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Economics, University of California at Los Angeles'}]}, {'given': 'Iván', 'family': 'Werning', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Economics, Massachusetts Institute of Technology'}]}]",The Econometric Society,"{'date-parts': [[2019, 3, 26]], 'date-time': '2019-03-26T08:27:16Z', 'timestamp': 1553588836000}",False
http://dx.doi.org/10.3982/ecta15011,['Social Discounting and Intergenerational Pareto'],"[{'given': 'Tangren', 'family': 'Feng', 'sequence': 'first', 'affiliation': []}, {'given': 'Shaowei', 'family': 'Ke', 'sequence': 'additional', 'affiliation': []}]",The Econometric Society,"{'date-parts': [[2018, 11, 8]], 'date-time': '2018-11-08T11:37:54Z', 'timestamp': 1541677074000}",False
http://dx.doi.org/10.3982/ecta16756,['Unbundling Polarization'],"[{'given': 'Nathan', 'family': 'Canen', 'sequence': 'first', 'affiliation': [{'name': 'Department of Economics, University of Houston'}]}, {'given': 'Chad', 'family': 'Kendall', 'sequence': 'additional', 'affiliation': [{'name': 'Marshall School of Business, University of Southern California'}]}, {'given': 'Francesco', 'family': 'Trebbi', 'sequence': 'additional', 'affiliation': [{'name': 'Vancouver School of Economics, University of British Columbia'}, {'name': 'Canadian Institute for Advanced Research'}, {'name': 'National Bureau of Economic Research'}]}]",The Econometric Society,"{'date-parts': [[2020, 5, 7]], 'date-time': '2020-05-07T11:57:12Z', 'timestamp': 1588852632000}",True
http://dx.doi.org/10.3982/ecta15022,['Provider Incentives and Healthcare Costs: Evidence From Long-Term Care Hospitals'],"[{'given': 'Liran', 'family': 'Einav', 'sequence': 'first', 'affiliation': []}, {'given': 'Amy', 'family': 'Finkelstein', 'sequence': 'additional', 'affiliation': []}, {'given': 'Neale', 'family': 'Mahoney', 'sequence': 'additional', 'affiliation': []}]",The Econometric Society,"{'date-parts': [[2018, 11, 30]], 'date-time': '2018-11-30T13:49:01Z', 'timestamp': 1543585741000}",True
http://dx.doi.org/10.3982/ecta13333,['Understanding the Price Effects of the MillerCoors Joint Venture'],"[{'given': 'Nathan H.', 'family': 'Miller', 'sequence': 'first', 'affiliation': []}, {'given': 'Matthew C.', 'family': 'Weinberg', 'sequence': 'additional', 'affiliation': []}]",The Econometric Society,"{'date-parts': [[2017, 12, 4]], 'date-time': '2017-12-04T07:00:15Z', 'timestamp': 1512370815000}",True
http://dx.doi.org/10.3982/ecta14243,['The Aggregate Implications of Regional Business Cycles'],"[{'given': 'Martin', 'family': 'Beraja', 'sequence': 'first', 'affiliation': [{'name': 'Department of Economics, Massachusetts Institute of Technology'}]}, {'given': 'Erik', 'family': 'Hurst', 'sequence': 'additional', 'affiliation': [{'name': 'Booth School of Business, University of Chicago'}]}, {'given': 'Juan', 'family': 'Ospina', 'sequence': 'additional', 'affiliation': [{'name': 'Banco de la República de Colombia'}]}]",The Econometric Society,"{'date-parts': [[2019, 11, 27]], 'date-time': '2019-11-27T10:08:32Z', 'timestamp': 1574849312000}",True
http://dx.doi.org/10.3982/ecta16413,['Theory of Weak Identification in Semiparametric Models'],"[{'given': 'Tetsuya', 'family': 'Kaji', 'sequence': 'first', 'affiliation': [{'name': 'University of Chicago Booth School of Business'}]}]",The Econometric Society,"{'date-parts': [[2021, 3, 15]], 'date-time': '2021-03-15T09:42:01Z', 'timestamp': 1615801321000}",True
http://dx.doi.org/10.3982/ecta17477,['Labor Share Decline and Intellectual Property Products Capital'],"[{'given': 'Dongya', 'family': 'Koh', 'sequence': 'first', 'affiliation': [{'name': 'Sam M. Walton College of Business, University of Arkansas'}]}, {'given': 'Raül', 'family': 'Santaeulàlia-Llopis', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Economics, Universitat Autònoma de Barcelona'}, {'name': 'BGSE'}]}, {'given': 'Yu', 'family': 'Zheng', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Economics, Queen Mary University of London'}, {'name': 'CEPR'}]}]",The Econometric Society,"{'date-parts': [[2020, 11, 17]], 'date-time': '2020-11-17T13:43:08Z', 'timestamp': 1605620588000}",True
http://dx.doi.org/10.3982/ecta14031,['The Welfare Effects of Vertical Integration in Multichannel Television Markets'],"[{'given': 'Gregory S.', 'family': 'Crawford', 'sequence': 'first', 'affiliation': []}, {'given': 'Robin S.', 'family': 'Lee', 'sequence': 'additional', 'affiliation': []}, {'given': 'Michael D.', 'family': 'Whinston', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ali', 'family': 'Yurukoglu', 'sequence': 'additional', 'affiliation': []}]",The Econometric Society,"{'date-parts': [[2018, 5, 21]], 'date-time': '2018-05-21T08:19:50Z', 'timestamp': 1526890790000}",False
