url,icpsr,publication_date,has_replication
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.1,,Spring 2016,False
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.3,http://doi.org/10.3886/E113971V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.29,http://doi.org/10.3886/E113970V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.53,http://doi.org/10.3886/E113972V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.79,http://doi.org/10.3886/E113973V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.103,http://doi.org/10.3886/E113967V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.127,,Spring 2016,False
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.151,http://doi.org/10.3886/E113968V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.179,http://doi.org/10.3886/E113969V1,Spring 2016,True
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.201,,Spring 2016,False
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.219,,Spring 2016,False
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.237,,Spring 2016,False
https://www.aeaweb.org/articles?id=10.1257/jep.30.2.245,,Spring 2016,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.i,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.3,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.7,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.19,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.31,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.43,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.57,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.79,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.99,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.117,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.135,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.149,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.157,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.179,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.189,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.193,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.207,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.4.1.213,,Winter 1990,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.i,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.3,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.15,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.33,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.57,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.81,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.83,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.103,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.115,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.129,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.153,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.169,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.189,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.199,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.209,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.9.3.217,,Summer 1995,False
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.1,,Winter 2017,False
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.3,http://doi.org/10.3886/E113987V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.25,http://doi.org/10.3886/E113986V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.49,http://doi.org/10.3886/E113988V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.71,http://doi.org/10.3886/E113989V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.93,http://doi.org/10.3886/E113990V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.117,http://doi.org/10.3886/E113981V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.141,http://doi.org/10.3886/E113982V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.161,http://doi.org/10.3886/E113983V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.183,http://doi.org/10.3886/E113984V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.205,http://doi.org/10.3886/E113985V1,Winter 2017,True
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.231,,Winter 2017,False
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.245,,Winter 2017,False
https://www.aeaweb.org/articles?id=10.1257/jep.31.1.257,,Winter 2017,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.3,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.25,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.45,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.67,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.85,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.103,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.129,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.153,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.177,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.199,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.217,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.235,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.243,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.1.251,,Winter 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.3,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.29,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.53,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.73,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.93,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.115,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.133,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.155,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.171,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.193,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.217,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.235,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.243,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.2.247,,Spring 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.3,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.27,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.51,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.69,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.93,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.115,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.135,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.155,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.181,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.199,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.217,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.225,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.22.4.227,,Fall 2008,False
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.1,,Summer 2018,False
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.3,http://doi.org/10.3886/E114018V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.31,http://doi.org/10.3886/E114017V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.59,http://doi.org/10.3886/E114019V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.87,,Summer 2018,False
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.113,http://doi.org/10.3886/E114013V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.141,,Summer 2018,False
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.167,http://doi.org/10.3886/E114014V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.195,,Summer 2018,False
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.215,,Summer 2018,False
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.239,http://doi.org/10.3886/E114015V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.259,http://doi.org/10.3886/E114016V1,Summer 2018,True
https://www.aeaweb.org/articles?id=10.1257/jep.32.3.281,,Summer 2018,False
https://www.aeaweb.org/articles?id=10.1257/jep.13.1.i,,Winter 1999,False
