doi,title,author,publisher,created,has_replication
http://dx.doi.org/10.1111/jofi.12286,['Arbitrage Asymmetry and the Idiosyncratic Volatility Puzzle'],"[{'given': 'ROBERT F.', 'family': 'STAMBAUGH', 'sequence': 'first', 'affiliation': []}, {'given': 'JIANFENG', 'family': 'YU', 'sequence': 'additional', 'affiliation': []}, {'given': 'YU', 'family': 'YUAN', 'sequence': 'additional', 'affiliation': []}]",Wiley,"{'date-parts': [[2015, 5, 1]], 'date-time': '2015-05-01T08:22:37Z', 'timestamp': 1430468557000}",False
http://dx.doi.org/10.1111/j.1540-6261.2012.01781.x,['Strategic Default and Equity Risk Across Countries'],"[{'given': 'GIOVANNI', 'family': 'FAVARA', 'sequence': 'first', 'affiliation': []}, {'given': 'ENRIQUE', 'family': 'SCHROTH', 'sequence': 'additional', 'affiliation': []}, {'given': 'PHILIP', 'family': 'VALTA', 'sequence': 'additional', 'affiliation': []}]",Wiley,"{'date-parts': [[2012, 11, 19]], 'date-time': '2012-11-19T21:47:49Z', 'timestamp': 1353361669000}",False
http://dx.doi.org/10.1111/jofi.2016.71.issue-4,[],,Wiley,"{'date-parts': [[2016, 7, 14]], 'date-time': '2016-07-14T04:17:15Z', 'timestamp': 1468469835000}",False
http://dx.doi.org/10.1111/jofi.12182,['A Crisis of Banks as Liquidity Providers'],"[{'given': 'VIRAL V.', 'family': 'ACHARYA', 'sequence': 'first', 'affiliation': []}, {'given': 'NADA', 'family': 'MORA', 'sequence': 'additional', 'affiliation': []}]",Wiley,"{'date-parts': [[2014, 6, 2]], 'date-time': '2014-06-02T18:28:01Z', 'timestamp': 1401733681000}",False
http://dx.doi.org/10.1111/j.1540-6261.2010.01595.x,['Microstructure and Ambiguity'],"[{'given': 'DAVID', 'family': 'EASLEY', 'sequence': 'first', 'affiliation': []}, {'given': 'MAUREEN', 'family': ""O'HARA"", 'sequence': 'additional', 'affiliation': []}]",Wiley,"{'date-parts': [[2010, 10, 5]], 'date-time': '2010-10-05T12:40:40Z', 'timestamp': 1286282440000}",False
http://dx.doi.org/10.1111/jofi.12876,['What Drives Anomaly Returns?'],"[{'given': 'LARS A.', 'family': 'LOCHSTOER', 'sequence': 'first', 'affiliation': []}, {'given': 'PAUL C.', 'family': 'TETLOCK', 'sequence': 'additional', 'affiliation': []}]",Wiley,"{'date-parts': [[2020, 1, 17]], 'date-time': '2020-01-17T11:12:05Z', 'timestamp': 1579259525000}",False
http://dx.doi.org/10.1111/jofi.2016.71.issue-1,[],,Wiley,"{'date-parts': [[2016, 2, 25]], 'date-time': '2016-02-25T20:31:50Z', 'timestamp': 1456432310000}",False
http://dx.doi.org/10.1111/jofi.13015,['Report of the Editor of\n            The Journal of Finance\n            for the Year 2020'],"[{'given': 'STEFAN', 'family': 'NAGEL', 'sequence': 'first', 'affiliation': []}]",Wiley,"{'date-parts': [[2021, 3, 4]], 'date-time': '2021-03-04T09:49:48Z', 'timestamp': 1614851388000}",False
http://dx.doi.org/10.1111/jofi.12602,['Homeowner Borrowing and Housing Collateral: New Evidence from Expiring Price Controls'],"[{'given': 'ANTHONY A.', 'family': 'DEFUSCO', 'sequence': 'first', 'affiliation': []}]",Wiley,"{'date-parts': [[2017, 12, 18]], 'date-time': '2017-12-18T12:39:39Z', 'timestamp': 1513600779000}",False
http://dx.doi.org/10.1111/jofi.12988,['Anonymous Trading in Equities'],"[{'given': 'TOM GRIMSTVEDT', 'family': 'MELING', 'sequence': 'first', 'affiliation': []}]",Wiley,"{'date-parts': [[2020, 11, 13]], 'date-time': '2020-11-13T04:48:26Z', 'timestamp': 1605242906000}",False
