doi,title,author,publisher,created,has_replication
http://dx.doi.org/10.1086/710976,['An Empirical Analysis of Racial Differences in Police Use of Force: A Comment'],"[{'given': 'Steven N.', 'family': 'Durlauf', 'sequence': 'first', 'affiliation': []}, {'given': 'James J.', 'family': 'Heckman', 'sequence': 'additional', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2020, 7, 21]], 'date-time': '2020-07-21T13:57:38Z', 'timestamp': 1595339858000}",False
http://dx.doi.org/10.1086/712507,['Supply and Demand in a Two-Sector Matching Model'],"[{'given': 'Paweł', 'family': 'Gola', 'sequence': 'first', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2020, 11, 6]], 'date-time': '2020-11-06T15:45:52Z', 'timestamp': 1604677552000}",True
http://dx.doi.org/10.1086/686732,['Understanding Booms and Busts in Housing Markets'],"[{'given': 'Craig', 'family': 'Burnside', 'sequence': 'first', 'affiliation': []}, {'given': 'Martin', 'family': 'Eichenbaum', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sergio', 'family': 'Rebelo', 'sequence': 'additional', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2016, 7, 1]], 'date-time': '2016-07-01T16:47:48Z', 'timestamp': 1467391668000}",False
http://dx.doi.org/10.1086/665405,['Buy Coal! A Case for Supply-Side Environmental Policy'],"[{'given': 'Bård', 'family': 'Harstad', 'sequence': 'first', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2012, 4, 11]], 'date-time': '2012-04-11T19:08:40Z', 'timestamp': 1334171320000}",False
http://dx.doi.org/10.1086/711348,"['Pass-Through as an Economic Tool: On Exogenous Competition, Social Incidence, and Price Discrimination']","[{'given': 'Jeanine', 'family': 'Miklós-Thal', 'sequence': 'first', 'affiliation': []}, {'given': 'Greg', 'family': 'Shaffer', 'sequence': 'additional', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2020, 8, 20]], 'date-time': '2020-08-20T14:21:18Z', 'timestamp': 1597933278000}",False
http://dx.doi.org/10.1086/688876,['The Cyclicality of the Opportunity Cost of Employment'],"[{'given': 'Gabriel', 'family': 'Chodorow-Reich', 'sequence': 'first', 'affiliation': []}, {'given': 'Loukas', 'family': 'Karabarbounis', 'sequence': 'additional', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2016, 10, 31]], 'date-time': '2016-10-31T19:51:07Z', 'timestamp': 1477943467000}",True
http://dx.doi.org/10.1086/498049,"['Polygyny, Fertility, and Savings']","[{'given': 'Michèle', 'family': 'Tertilt', 'sequence': 'first', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2005, 11, 28]], 'date-time': '2005-11-28T14:05:25Z', 'timestamp': 1133186725000}",False
http://dx.doi.org/10.1086/694293,['The Power of Abortion Policy: Reexamining the Effects of Young Women’s Access to Reproductive Control'],"[{'given': 'Caitlin Knowles', 'family': 'Myers', 'sequence': 'first', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2017, 8, 7]], 'date-time': '2017-08-07T17:38:23Z', 'timestamp': 1502127503000}",True
http://dx.doi.org/10.1086/422562,['Shipping the Good Apples Out? An Empirical Confirmation of the Alchian‐Allen Conjecture'],"[{'given': 'David', 'family': 'Hummels', 'sequence': 'first', 'affiliation': []}, {'given': 'Alexandre', 'family': 'Skiba', 'sequence': 'additional', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2004, 11, 19]], 'date-time': '2004-11-19T16:05:39Z', 'timestamp': 1100880339000}",False
http://dx.doi.org/10.1086/700765,['On the Intergenerational Transmission of Economic Status'],"[{'given': 'Sang Yoon (Tim)', 'family': 'Lee', 'sequence': 'first', 'affiliation': []}, {'given': 'Ananth', 'family': 'Seshadri', 'sequence': 'additional', 'affiliation': []}]",University of Chicago Press,"{'date-parts': [[2018, 9, 26]], 'date-time': '2018-09-26T17:55:12Z', 'timestamp': 1537984512000}",True
