doi,title,author,publisher,created,has_replication
http://dx.doi.org/10.1162/0033553053327470,['Neighborhood Effects on Crime for Female and Male Youth: Evidence from a Randomized Housing Voucher Experiment'],"[{'given': 'J. R.', 'family': 'Kling', 'sequence': 'first', 'affiliation': []}, {'given': 'J.', 'family': 'Ludwig', 'sequence': 'additional', 'affiliation': []}, {'given': 'L. F.', 'family': 'Katz', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2005, 3, 18]], 'date-time': '2005-03-18T04:22:47Z', 'timestamp': 1111119767000}",False
http://dx.doi.org/10.1162/qjec.2009.124.3.1363,['How does Parental Leave Affect Fertility and Return to Work? Evidence from Two Natural Experiments*'],"[{'given': 'Rafael', 'family': 'Lalive', 'sequence': 'first', 'affiliation': []}, {'given': 'Josef', 'family': 'Zweimüller', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2009, 7, 29]], 'date-time': '2009-07-29T13:33:02Z', 'timestamp': 1248874382000}",False
http://dx.doi.org/10.1093/qje/qjr037,"['The Role of Hospital Heterogeneity in Measuring Marginal Returns to Medical Care: A Reply to Barreca, Guldi, Lindo, and Waddell']","[{'given': 'D.', 'family': 'Almond', 'sequence': 'first', 'affiliation': []}, {'given': 'J. J.', 'family': 'Doyle', 'sequence': 'additional', 'affiliation': []}, {'given': 'A. E.', 'family': 'Kowalski', 'sequence': 'additional', 'affiliation': []}, {'given': 'H.', 'family': 'Williams', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2011, 10, 7]], 'date-time': '2011-10-07T05:55:17Z', 'timestamp': 1317966917000}",False
http://dx.doi.org/10.1162/qjec.122.3.1103,"['Selection, Growth, and the Size Distribution of Firms']","[{'given': 'E. G. J.', 'family': 'Luttmer', 'sequence': 'first', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2007, 7, 30]], 'date-time': '2007-07-30T13:11:18Z', 'timestamp': 1185801078000}",False
http://dx.doi.org/10.1162/00335530152466269,['Are CEOs Rewarded for Luck? The Ones Without Principals Are'],"[{'given': 'M.', 'family': 'Bertrand', 'sequence': 'first', 'affiliation': []}, {'given': 'S.', 'family': 'Mullainathan', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2002, 7, 27]], 'date-time': '2002-07-27T11:55:01Z', 'timestamp': 1027770901000}",False
http://dx.doi.org/10.1162/qjec.2009.124.3.1307,['Trust and Social Collateral*'],"[{'given': 'Dean', 'family': 'Karlan', 'sequence': 'first', 'affiliation': []}, {'given': 'Markus', 'family': 'Mobius', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tanya', 'family': 'Rosenblat', 'sequence': 'additional', 'affiliation': []}, {'given': 'Adam', 'family': 'Szeidl', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2009, 8, 20]], 'date-time': '2009-08-20T14:29:37Z', 'timestamp': 1250778577000}",False
http://dx.doi.org/10.1162/003355301753265598,['Government Versus Private Ownership of Public Goods'],"[{'given': 'T.', 'family': 'Besley', 'sequence': 'first', 'affiliation': []}, {'given': 'M.', 'family': 'Ghatak', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2002, 7, 27]], 'date-time': '2002-07-27T11:56:30Z', 'timestamp': 1027770990000}",False
http://dx.doi.org/10.1093/qje/qjs047,['Unconditional Convergence in Manufacturing\n*'],"[{'given': 'Dani', 'family': 'Rodrik', 'sequence': 'first', 'affiliation': [{'name': 'John F. Kennedy School of Government, Harvard University'}]}]",Oxford University Press (OUP),"{'date-parts': [[2012, 11, 19]], 'date-time': '2012-11-19T01:58:16Z', 'timestamp': 1353290296000}",False
http://dx.doi.org/10.1093/qje/qjs017,['The Role of Application Assistance and Information in College Decisions: Results from the H&R Block Fafsa Experiment*'],"[{'given': 'Eric P.', 'family': 'Bettinger', 'sequence': 'first', 'affiliation': [{'name': 'Stanford University School of Education and National Bureau of Economic Research'}]}, {'given': 'Bridget Terry', 'family': 'Long', 'sequence': 'additional', 'affiliation': [{'name': 'Harvard Graduate School of Education, National Bureau of Economic Research, and National Center for Postsecondary Research'}]}, {'given': 'Philip', 'family': 'Oreopoulos', 'sequence': 'additional', 'affiliation': [{'name': 'University of Toronto, Canadian Institute for Advanced Research, and National Bureau of Economic Research'}]}, {'given': 'Lisa', 'family': 'Sanbonmatsu', 'sequence': 'additional', 'affiliation': [{'name': 'National Bureau of Economic Research'}]}]",Oxford University Press (OUP),"{'date-parts': [[2012, 4, 19]], 'date-time': '2012-04-19T03:49:29Z', 'timestamp': 1334807369000}",False
http://dx.doi.org/10.1093/qje/qjr057,['How do Different Exporters React to Exchange Rate Changes?'],"[{'given': 'N.', 'family': 'Berman', 'sequence': 'first', 'affiliation': []}, {'given': 'P.', 'family': 'Martin', 'sequence': 'additional', 'affiliation': []}, {'given': 'T.', 'family': 'Mayer', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2012, 1, 20]], 'date-time': '2012-01-20T06:17:23Z', 'timestamp': 1327040243000}",False
