doi,title,author,publisher,created,has_replication
http://dx.doi.org/10.1111/j.1467-937x.2007.00471.x,['Optimal Delegation'],"[{'given': 'RICARDO', 'family': 'ALONSO', 'sequence': 'first', 'affiliation': []}, {'given': 'NIKO', 'family': 'MATOUSCHEK', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2008, 2, 13]], 'date-time': '2008-02-13T06:15:36Z', 'timestamp': 1202883336000}",False
http://dx.doi.org/10.1093/res/rdw062,['Endogenous Public Information and Welfare in Market Games'],"[{'given': 'Xavier', 'family': 'Vives', 'sequence': 'first', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2017, 2, 3]], 'date-time': '2017-02-03T23:20:31Z', 'timestamp': 1486164031000}",False
http://dx.doi.org/10.1093/restud/rdy053,['Two-Step Estimation and Inference with Possibly Many Included Covariates'],"[{'given': 'Matias D', 'family': 'Cattaneo', 'sequence': 'first', 'affiliation': [{'name': 'University of Michigan'}]}, {'given': 'Michael', 'family': 'Jansson', 'sequence': 'additional', 'affiliation': [{'name': 'UC Berkeley and CREATES'}]}, {'given': 'Xinwei', 'family': 'Ma', 'sequence': 'additional', 'affiliation': [{'name': 'University of Michigan'}]}]",Oxford University Press (OUP),"{'date-parts': [[2018, 9, 17]], 'date-time': '2018-09-17T11:15:19Z', 'timestamp': 1537182919000}",False
http://dx.doi.org/10.1093/restud/rds030,['Groupthink: Collective Delusions in Organizations and Markets'],"[{'given': 'Roland', 'family': 'Bénabou', 'sequence': 'first', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2012, 9, 19]], 'date-time': '2012-09-19T01:08:45Z', 'timestamp': 1348016925000}",False
http://dx.doi.org/10.1093/restud/rdr013,['Portfolio Choices and Asset Prices: The Comparative Statics of Ambiguity Aversion'],"[{'given': 'Christian', 'family': 'Gollier', 'sequence': 'first', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2011, 5, 4]], 'date-time': '2011-05-04T01:32:57Z', 'timestamp': 1304472777000}",False
http://dx.doi.org/10.1111/j.1467-937x.2009.00576.x,['Pairwise-Difference Estimation of a Dynamic Optimization Model'],"[{'given': 'HAN', 'family': 'HONG', 'sequence': 'first', 'affiliation': []}, {'given': 'MATTHEW', 'family': 'SHUM', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2009, 7, 14]], 'date-time': '2009-07-14T08:53:48Z', 'timestamp': 1247561628000}",False
http://dx.doi.org/10.1093/restud/rds025,['Assigning Resources to Budget-Constrained Agents'],"[{'given': 'Y.-K.', 'family': 'Che', 'sequence': 'first', 'affiliation': []}, {'given': 'I.', 'family': 'Gale', 'sequence': 'additional', 'affiliation': []}, {'given': 'J.', 'family': 'Kim', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2012, 6, 1]], 'date-time': '2012-06-01T20:23:58Z', 'timestamp': 1338582238000}",False
http://dx.doi.org/10.1093/restud/rdy050,['State Taxes and Spatial Misallocation'],"[{'given': 'Pablo D', 'family': 'Fajgelbaum', 'sequence': 'first', 'affiliation': [{'name': 'UCLA & NBER'}]}, {'given': 'Eduardo', 'family': 'Morales', 'sequence': 'additional', 'affiliation': [{'name': 'Princeton & NBER'}]}, {'given': 'Juan Carlos Suárez', 'family': 'Serrato', 'sequence': 'additional', 'affiliation': [{'name': 'Duke & NBER'}]}, {'given': 'Owen', 'family': 'Zidar', 'sequence': 'additional', 'affiliation': [{'name': 'Princeton & NBER'}]}]",Oxford University Press (OUP),"{'date-parts': [[2018, 9, 6]], 'date-time': '2018-09-06T19:28:25Z', 'timestamp': 1536262105000}",False
http://dx.doi.org/10.1111/j.1467-937x.2008.00513.x,['The Welfare Effects of Incentive Schemes'],"[{'given': 'ADAM', 'family': 'COPELAND', 'sequence': 'first', 'affiliation': []}, {'given': 'CYRIL', 'family': 'MONNET', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2008, 12, 31]], 'date-time': '2008-12-31T18:22:45Z', 'timestamp': 1230747765000}",False
http://dx.doi.org/10.1093/restud/rdr024,['Eliciting Welfare Preferences from Behavioural Data Sets'],"[{'given': 'A.', 'family': 'Rubinstein', 'sequence': 'first', 'affiliation': []}, {'given': 'Y.', 'family': 'Salant', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2011, 8, 20]], 'date-time': '2011-08-20T00:30:03Z', 'timestamp': 1313800203000}",False
http://dx.doi.org/10.1093/restud/rdt008,['On the Correlation Structure of Microstructure Noise: A Financial Economic Approach'],"[{'given': 'F. X.', 'family': 'Diebold', 'sequence': 'first', 'affiliation': []}, {'given': 'G.', 'family': 'Strasser', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2013, 2, 20]], 'date-time': '2013-02-20T06:04:41Z', 'timestamp': 1361340281000}",False
http://dx.doi.org/10.1111/j.1467-937x.2009.00599.x,['Interdependent Durations'],"[{'given': 'BO E.', 'family': 'HONORÉ', 'sequence': 'first', 'affiliation': []}, {'given': 'ÁUREO', 'family': 'DE PAULA', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2010, 2, 9]], 'date-time': '2010-02-09T12:19:13Z', 'timestamp': 1265717953000}",False
http://dx.doi.org/10.1111/j.1467-937x.2008.00515.x,['Knowing What Others Know: Coordination Motives in Information Acquisition'],"[{'given': 'CHRISTIAN', 'family': 'HELLWIG', 'sequence': 'first', 'affiliation': []}, {'given': 'LAURA', 'family': 'VELDKAMP', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2008, 12, 31]], 'date-time': '2008-12-31T18:22:45Z', 'timestamp': 1230747765000}",False
http://dx.doi.org/10.1093/restud/rdq006,['Monetary Policy Shifts and the Term Structure'],"[{'given': 'A.', 'family': 'Ang', 'sequence': 'first', 'affiliation': []}, {'given': 'J.', 'family': 'Boivin', 'sequence': 'additional', 'affiliation': []}, {'given': 'S.', 'family': 'Dong', 'sequence': 'additional', 'affiliation': []}, {'given': 'R.', 'family': 'Loo-Kung', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2011, 3, 25]], 'date-time': '2011-03-25T19:58:04Z', 'timestamp': 1301083084000}",False
http://dx.doi.org/10.1093/restud/rdx033,['What Motivates Effort? Evidence and Expert Forecasts'],"[{'given': 'Stefano', 'family': 'DellaVigna', 'sequence': 'first', 'affiliation': [{'name': 'UC Berkeley and NBER'}]}, {'given': 'Devin', 'family': 'Pope', 'sequence': 'additional', 'affiliation': [{'name': 'U Chicago and NBER'}]}]",Oxford University Press (OUP),"{'date-parts': [[2017, 5, 10]], 'date-time': '2017-05-10T19:12:03Z', 'timestamp': 1494443523000}",False
