doi,title,author,publisher,created,has_replication
http://dx.doi.org/10.1093/rfs/hhy046,['Financial Advice and Bank Profits'],"[{'given': 'Daniel', 'family': 'Hoechle', 'sequence': 'first', 'affiliation': [{'name': 'University of Applied Sciences Northwestern Switzerland'}]}, {'given': 'Stefan', 'family': 'Ruenzi', 'sequence': 'additional', 'affiliation': [{'name': 'University of Mannheim'}]}, {'given': 'Nic', 'family': 'Schaub', 'sequence': 'additional', 'affiliation': [{'name': 'University of St. Gallen'}]}, {'given': 'Markus', 'family': 'Schmid', 'sequence': 'additional', 'affiliation': [{'name': 'University of St. Gallen'}]}]",Oxford University Press (OUP),"{'date-parts': [[2018, 4, 20]], 'date-time': '2018-04-20T11:09:37Z', 'timestamp': 1524222577000}",False
http://dx.doi.org/10.1093/rfs/hhv008,['Shareholder Voting and Corporate Governance Around the World'],"[{'given': 'Peter', 'family': 'Iliev', 'sequence': 'first', 'affiliation': []}, {'given': 'Karl V.', 'family': 'Lins', 'sequence': 'additional', 'affiliation': []}, {'given': 'Darius P.', 'family': 'Miller', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lukas', 'family': 'Roth', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2015, 7, 13]], 'date-time': '2015-07-13T12:26:16Z', 'timestamp': 1436790376000}",False
http://dx.doi.org/10.1093/rfs/hhu038,['Does the Tail Wag the Dog?: The Effect of Credit Default Swaps on Credit Risk'],"[{'given': 'Marti G.', 'family': 'Subrahmanyam', 'sequence': 'first', 'affiliation': []}, {'given': 'Dragon Yongjun', 'family': 'Tang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sarah Qian', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2014, 9, 4]], 'date-time': '2014-09-04T20:08:57Z', 'timestamp': 1409861337000}",False
http://dx.doi.org/10.1093/rfs/hhu039,['Tail Risk and Asset Prices'],"[{'given': 'Bryan', 'family': 'Kelly', 'sequence': 'first', 'affiliation': []}, {'given': 'Hao', 'family': 'Jiang', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2014, 9, 4]], 'date-time': '2014-09-04T20:08:57Z', 'timestamp': 1409861337000}",True
http://dx.doi.org/10.1093/rfs/hhz085,['A Transaction-Cost Perspective on the Multitude of Firm Characteristics'],"[{'given': 'Victor', 'family': 'DeMiguel', 'sequence': 'first', 'affiliation': [{'name': 'London Business School'}]}, {'given': 'Alberto', 'family': 'Martín-Utrera', 'sequence': 'additional', 'affiliation': [{'name': 'New Jersey Institute of Technology'}]}, {'given': 'Francisco J', 'family': 'Nogales', 'sequence': 'additional', 'affiliation': [{'name': 'Universidad Carlos III de Madrid'}]}, {'given': 'Raman', 'family': 'Uppal', 'sequence': 'additional', 'affiliation': [{'name': 'EDHEC Business School, EDHEC Scientific Beta Research Chair, and CEPR'}]}]",Oxford University Press (OUP),"{'date-parts': [[2019, 7, 26]], 'date-time': '2019-07-26T04:38:29Z', 'timestamp': 1564115909000}",False
http://dx.doi.org/10.1093/rfs/hhy095,['The Blockchain Folk Theorem'],"[{'given': 'Bruno', 'family': 'Biais', 'sequence': 'first', 'affiliation': [{'name': 'Toulouse School of Economics, CNRS, Université Toulouse Capitole, TSM-R and HEC Paris'}]}, {'given': 'Christophe', 'family': 'Bisière', 'sequence': 'additional', 'affiliation': [{'name': 'Toulouse School of Economics, Université Toulouse Capitole, TSM-R'}]}, {'given': 'Matthieu', 'family': 'Bouvard', 'sequence': 'additional', 'affiliation': [{'name': 'Desautels Faculty of Management, McGill University'}]}, {'given': 'Catherine', 'family': 'Casamatta', 'sequence': 'additional', 'affiliation': [{'name': 'Toulouse School of Economics, Université Toulouse Capitole, TSM-R'}]}]",Oxford University Press (OUP),"{'date-parts': [[2018, 8, 30]], 'date-time': '2018-08-30T12:06:07Z', 'timestamp': 1535630767000}",False
http://dx.doi.org/10.1093/rfs/hht131,['Expected Returns and Dividend Growth Rates Implied by Derivative Markets'],"[{'given': 'Benjamin', 'family': 'Golez', 'sequence': 'first', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2014, 2, 25]], 'date-time': '2014-02-25T14:45:47Z', 'timestamp': 1393339547000}",False
http://dx.doi.org/10.1093/rfs/hhu024,"[""Investors' and Central Bank's Uncertainty Embedded in Index Options""]","[{'given': 'Alexander', 'family': 'David', 'sequence': 'first', 'affiliation': []}, {'given': 'Pietro', 'family': 'Veronesi', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2014, 5, 8]], 'date-time': '2014-05-08T13:04:09Z', 'timestamp': 1399554249000}",False
http://dx.doi.org/10.1093/rfs/hht034,['Anticipated and Repeated Shocks in Liquid Markets'],"[{'given': 'Dong', 'family': 'Lou', 'sequence': 'first', 'affiliation': []}, {'given': 'Hongjun', 'family': 'Yan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jinfan', 'family': 'Zhang', 'sequence': 'additional', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2013, 7, 12]], 'date-time': '2013-07-12T05:41:26Z', 'timestamp': 1373607686000}",False
http://dx.doi.org/10.1093/rfs/hhs068,['Real Option Financing Under Asymmetric Information'],"[{'given': 'Matthieu', 'family': 'Bouvard', 'sequence': 'first', 'affiliation': []}]",Oxford University Press (OUP),"{'date-parts': [[2013, 12, 17]], 'date-time': '2013-12-17T12:44:11Z', 'timestamp': 1387284251000}",False
